"instanceType","otherReason","id","uuid:ID"
"StudyAmendmentReason","","StudyAmendmentReason_1","6c8a86d9-88fb-4094-be49-f2a360fe1527"
"StudyAmendmentReason","Fix typographical errors","StudyAmendmentReason_2","5fc2b327-a9f0-485d-a8f4-40a8a0b763dc"
