"instanceType","datatype","isRequired","isEnabled","name","label","id","uuid:ID"
"BiomedicalConceptProperty","text","True","True","DSDECOD","DSDECOD","BiomedicalConceptProperty_116","baeb502b-0ca6-4ec3-9e7e-dabcc1229f28"
"BiomedicalConceptProperty","text","True","True","DSTERM","DSTERM","BiomedicalConceptProperty_117","06f364b6-1e52-4ea4-b692-169f77ba98a8"
"BiomedicalConceptProperty","datetime","True","True","DSSTDTC","DSSTDTC","BiomedicalConceptProperty_118","e69783b3-be9a-4fb5-bea9-412cef78feb2"
"BiomedicalConceptProperty","string","True","True","Sex","Sex","BiomedicalConceptProperty_119","e2bf9d11-17e5-49d4-a1d9-d43903082427"
"BiomedicalConceptProperty","string","True","True","Race","Race","BiomedicalConceptProperty_120","98a76856-0f8e-47ae-8159-4d62696a83d2"
"BiomedicalConceptProperty","","True","True","VSTESTCD","VSTESTCD","BiomedicalConceptProperty_121","98ed477a-ca5c-4237-9ad9-8eeb800dd925"
"BiomedicalConceptProperty","float","True","True","VSORRES","VSORRES","BiomedicalConceptProperty_122","8f7b6348-3761-4f25-aa5e-aff30b309168"
"BiomedicalConceptProperty","","True","True","VSORRESU","VSORRESU","BiomedicalConceptProperty_123","a09c74d3-9284-413f-8f22-c15e90f940d1"
"BiomedicalConceptProperty","","True","True","VSLOC","VSLOC","BiomedicalConceptProperty_124","a5a68a40-a918-4e92-8046-faf3b5b5884c"
"BiomedicalConceptProperty","","True","True","VSTESTCD","VSTESTCD","BiomedicalConceptProperty_125","a1ed1a7c-0cdf-49f6-96f4-6020e53a33a5"
"BiomedicalConceptProperty","float","True","True","VSORRES","VSORRES","BiomedicalConceptProperty_126","6b3968a1-4581-4c06-a860-80e6ed346aa5"
"BiomedicalConceptProperty","","True","True","VSORRESU","VSORRESU","BiomedicalConceptProperty_127","d0a46b99-e1f0-4202-a628-2665bb173a51"
"BiomedicalConceptProperty","","True","True","VSTESTCD","VSTESTCD","BiomedicalConceptProperty_128","278b64b3-22b8-4c95-a38f-abd7131d47d1"
"BiomedicalConceptProperty","float","True","True","VSORRES","VSORRES","BiomedicalConceptProperty_129","04a470e8-2256-4ebf-bcb6-4e9da03e9578"
"BiomedicalConceptProperty","","True","True","VSORRESU","VSORRESU","BiomedicalConceptProperty_130","5b13682a-7999-43f3-8912-84be5da37706"
"BiomedicalConceptProperty","","True","True","LBTESTCD","LBTESTCD","BiomedicalConceptProperty_131","8c8dc95e-9dc6-4e56-9196-42d62ed2aae4"
"BiomedicalConceptProperty","float","True","True","LBORRES","LBORRES","BiomedicalConceptProperty_132","7dbf0142-68d8-4a46-b9d1-96101286fda7"
"BiomedicalConceptProperty","","True","True","LBORRESU","LBORRESU","BiomedicalConceptProperty_133","1616c6a6-f6c6-4029-98e8-94d79344e5c6"
"BiomedicalConceptProperty","","True","True","LBSPEC","LBSPEC","BiomedicalConceptProperty_134","a2a71b99-61a2-4f42-b8dc-52eceda132ee"
"BiomedicalConceptProperty","","True","True","LBFAST","LBFAST","BiomedicalConceptProperty_135","a2ae22fc-006d-4c95-a93f-f2f55d8013ef"
"BiomedicalConceptProperty","","True","True","LBTESTCD","LBTESTCD","BiomedicalConceptProperty_136","892b207e-1bd6-4e6f-ace7-c8bd33233fea"
"BiomedicalConceptProperty","text","True","True","LBORRES","LBORRES","BiomedicalConceptProperty_137","99261c62-b5e7-4631-84a7-1bd95097e28a"
"BiomedicalConceptProperty","","True","True","LBSPEC","LBSPEC","BiomedicalConceptProperty_138","ef5324bd-e746-4d7c-ae08-6a45a38a1be1"
"BiomedicalConceptProperty","","True","True","LBFAST","LBFAST","BiomedicalConceptProperty_139","8348705b-6778-4350-a428-32fd038533d9"
"BiomedicalConceptProperty","","True","True","LBTESTCD","LBTESTCD","BiomedicalConceptProperty_140","08be7b5f-c1d1-474e-9b67-323139ae13b2"
"BiomedicalConceptProperty","float","True","True","LBORRES","LBORRES","BiomedicalConceptProperty_141","ccde609e-8f7e-4095-a5e8-c1d21e2036e8"
"BiomedicalConceptProperty","","True","True","LBORRESU","LBORRESU","BiomedicalConceptProperty_142","18b5b69b-fdd6-436a-a695-4b3de1bc8282"
"BiomedicalConceptProperty","","True","True","LBSPEC","LBSPEC","BiomedicalConceptProperty_143","cd129678-dc22-44d4-b183-24cb54aa7702"
"BiomedicalConceptProperty","","True","True","LBFAST","LBFAST","BiomedicalConceptProperty_144","7f7949ee-256e-4757-a8d1-16e8971b7605"
"BiomedicalConceptProperty","","True","True","LBTESTCD","LBTESTCD","BiomedicalConceptProperty_145","c6576e7c-c521-474a-889f-eda828edf6f6"
"BiomedicalConceptProperty","float","True","True","LBORRES","LBORRES","BiomedicalConceptProperty_146","c172fd0f-8be5-49a5-8092-3587dd859359"
"BiomedicalConceptProperty","","True","True","LBORRESU","LBORRESU","BiomedicalConceptProperty_147","891aa3e8-4941-4106-9a67-0021b9de414e"
