"instanceType","isApproximate","maxValue","minValue","id","uuid:ID"
"Range","False","300.0","300.0","Range_2","58f6baad-2402-4660-80d8-5ca2460fd1ad"
"Range","False","300.0","300.0","Range_1","6908406c-615a-4351-92a7-ab2e2616ab4c"
"Range","False","100.0","50.0","Range_3","4fa807db-894f-4798-b74e-ae56cb1a6b0e"
