"isRequired","datatype","id","name","label","instanceType","isEnabled","uuid:ID"
"True","text","BiomedicalConceptProperty_116","DSDECOD","DSDECOD","BiomedicalConceptProperty","True","a3292a3f-bba7-4626-b315-d68347d89ab4"
"True","text","BiomedicalConceptProperty_117","DSTERM","DSTERM","BiomedicalConceptProperty","True","3f23b457-b6ca-4f86-8e1a-9e882cb0983d"
"True","datetime","BiomedicalConceptProperty_118","DSSTDTC","DSSTDTC","BiomedicalConceptProperty","True","83fb67cb-bf39-438c-84ed-1f2842ec0ede"
"True","string","BiomedicalConceptProperty_119","Sex","Sex","BiomedicalConceptProperty","True","118c0004-e9a4-4387-ba28-15ea20afe6c5"
"True","string","BiomedicalConceptProperty_120","Race","Race","BiomedicalConceptProperty","True","3627e41e-5eea-49de-b0ad-65c0267908ed"
"True","","BiomedicalConceptProperty_121","VSTESTCD","VSTESTCD","BiomedicalConceptProperty","True","3e56afee-3c2c-49a8-b34f-3e72f22a498e"
"True","float","BiomedicalConceptProperty_122","VSORRES","VSORRES","BiomedicalConceptProperty","True","cb4b3a5e-713f-4509-af36-7d20e4203718"
"True","","BiomedicalConceptProperty_123","VSORRESU","VSORRESU","BiomedicalConceptProperty","True","4c319821-0434-4c11-a2d7-ad9aef559718"
"True","","BiomedicalConceptProperty_124","VSLOC","VSLOC","BiomedicalConceptProperty","True","673531ff-b8d0-49fd-8c6b-5ebac7b4e08c"
"True","","BiomedicalConceptProperty_125","VSTESTCD","VSTESTCD","BiomedicalConceptProperty","True","0bc819c6-ac79-40e2-bdcd-1ac6181e6764"
"True","float","BiomedicalConceptProperty_126","VSORRES","VSORRES","BiomedicalConceptProperty","True","f57824d3-3676-4305-8fcb-f926fef07839"
"True","","BiomedicalConceptProperty_127","VSORRESU","VSORRESU","BiomedicalConceptProperty","True","6fd0872b-700a-42de-918b-1d6d3c5a5610"
"True","","BiomedicalConceptProperty_128","VSTESTCD","VSTESTCD","BiomedicalConceptProperty","True","8b896e6f-5150-40b6-836f-85c57c7abdf5"
"True","float","BiomedicalConceptProperty_129","VSORRES","VSORRES","BiomedicalConceptProperty","True","eb83351f-4327-4bcf-bf7c-ffeca845e0b4"
"True","","BiomedicalConceptProperty_130","VSORRESU","VSORRESU","BiomedicalConceptProperty","True","4f4fa8d0-7ddc-49f6-8503-e9001eceaa53"
"True","","BiomedicalConceptProperty_131","LBTESTCD","LBTESTCD","BiomedicalConceptProperty","True","5cc0dc15-2f5c-4e26-ac94-17d6bb3eee88"
"True","float","BiomedicalConceptProperty_132","LBORRES","LBORRES","BiomedicalConceptProperty","True","4ca48289-c297-4ab6-bfa3-667260436804"
"True","","BiomedicalConceptProperty_133","LBORRESU","LBORRESU","BiomedicalConceptProperty","True","d6dca3c2-5852-453c-9784-9330d55b4da4"
"True","","BiomedicalConceptProperty_134","LBSPEC","LBSPEC","BiomedicalConceptProperty","True","1cb429e9-6803-4455-a08d-554b4cd4ad75"
"True","","BiomedicalConceptProperty_135","LBFAST","LBFAST","BiomedicalConceptProperty","True","7a4b02b9-36f2-4787-8950-e9b800f00174"
"True","","BiomedicalConceptProperty_136","LBTESTCD","LBTESTCD","BiomedicalConceptProperty","True","039ab1b0-f002-4ec0-820e-51471f807a03"
"True","text","BiomedicalConceptProperty_137","LBORRES","LBORRES","BiomedicalConceptProperty","True","ad9500c0-bea5-47f4-9812-35d3f105b78d"
"True","","BiomedicalConceptProperty_138","LBSPEC","LBSPEC","BiomedicalConceptProperty","True","3e8d51bc-4a9a-4873-bac0-27ba3c469432"
"True","","BiomedicalConceptProperty_139","LBFAST","LBFAST","BiomedicalConceptProperty","True","57cfc6b2-fbfb-4eb9-b99a-a3078348efcd"
"True","","BiomedicalConceptProperty_140","LBTESTCD","LBTESTCD","BiomedicalConceptProperty","True","925fefea-4a22-4029-847a-53839988f725"
"True","float","BiomedicalConceptProperty_141","LBORRES","LBORRES","BiomedicalConceptProperty","True","30b6cdef-4337-490d-b7ca-aea4a635df79"
"True","","BiomedicalConceptProperty_142","LBORRESU","LBORRESU","BiomedicalConceptProperty","True","438c0427-b333-4b46-806f-5fc77185ca8c"
"True","","BiomedicalConceptProperty_143","LBSPEC","LBSPEC","BiomedicalConceptProperty","True","29062026-0961-49da-bf54-44bcdcf122d5"
