"isApproximate","id","maxValue","minValue","instanceType","uuid:ID"
"False","Range_2","300.0","300.0","Range","81889b14-d449-4ab6-b9f1-dfc2885b2895"
"False","Range_1","300.0","300.0","Range","ef5a9d37-5ebf-4620-ac39-d3fd1c9aa96f"
"False","Range_3","100.0","50.0","Range","8ea99312-6b5d-479d-9c87-8c59b6307f05"
