"dateValue","id","name","description","label","instanceType","uuid:ID"
"2006-06-01","GovernanceDate_1","D_APPROVE","Design approval date","Design Approval","GovernanceDate","bf7926de-c315-4bdc-95f0-b5c2fc883f5a"
"2006-07-01","GovernanceDate_2","P_APPROVE","Protocol document approval date","Protocol Approval","GovernanceDate","0bdd8e6b-4cad-486f-ad8d-6108f4d36859"
