"name","description","label","uuid:ID","instanceType","id"
"IE_Dict","Dictionary for IE","IE Dictionary","78ec7f07-5439-473e-9ac2-f989e5ba5bfd","SyntaxTemplateDictionary","SyntaxTemplateDictionary_1"
"AS_Dict","Dictionary for Study Assessments","Assessment Dictionary","10ee6684-17e6-496e-90b0-8fb90c045d3d","SyntaxTemplateDictionary","SyntaxTemplateDictionary_2"
