"uuid:ID","instanceType","id","otherReason"
"b18e0e27-540d-4983-ba13-5f41872a7075","StudyAmendmentReason","StudyAmendmentReason_1",""
"d57f3c90-76b0-41f1-85bc-91f3f15f4783","StudyAmendmentReason","StudyAmendmentReason_2","Fix typographical errors"
