"minValue","uuid:ID","instanceType","maxValue","id","isApproximate"
"300.0","4db12982-962c-4ccf-9e44-d418f58902e8","Range","300.0","Range_2","False"
"300.0","0746a2e8-6274-4568-9344-e2410584e2b7","Range","300.0","Range_1","False"
"50.0","aa8b6839-a873-400f-88d9-836e6ece1d70","Range","100.0","Range_3","False"
