"isEnabled","name","label","uuid:ID","instanceType","id","datatype","isRequired"
"True","DSDECOD","DSDECOD","46a9a817-41e1-4d8d-8c18-c5bf919838b7","BiomedicalConceptProperty","BiomedicalConceptProperty_116","text","True"
"True","DSTERM","DSTERM","e9e32caf-5735-42b6-8404-402cf11708e9","BiomedicalConceptProperty","BiomedicalConceptProperty_117","text","True"
"True","DSSTDTC","DSSTDTC","02baef7d-2a6b-4578-af59-255be95f046f","BiomedicalConceptProperty","BiomedicalConceptProperty_118","datetime","True"
"True","Sex","Sex","73d514be-6a25-4035-9e99-f614c9c37347","BiomedicalConceptProperty","BiomedicalConceptProperty_119","string","True"
"True","Race","Race","ee0ba635-9f6a-4285-af95-0f3376935300","BiomedicalConceptProperty","BiomedicalConceptProperty_120","string","True"
"True","VSTESTCD","VSTESTCD","9380bcef-d75f-423f-b32e-f29d8ce26c11","BiomedicalConceptProperty","BiomedicalConceptProperty_121","","True"
"True","VSORRES","VSORRES","3bdbd1c1-ca43-4a01-8468-41eebfd0b2ba","BiomedicalConceptProperty","BiomedicalConceptProperty_122","float","True"
"True","VSORRESU","VSORRESU","37f30dfb-26b9-4664-8c40-77246523d38e","BiomedicalConceptProperty","BiomedicalConceptProperty_123","","True"
"True","VSLOC","VSLOC","25beeff3-c473-4c1e-8498-762b36be6f7d","BiomedicalConceptProperty","BiomedicalConceptProperty_124","","True"
"True","VSTESTCD","VSTESTCD","843967f0-3484-4df3-bc0b-915f8148d5e0","BiomedicalConceptProperty","BiomedicalConceptProperty_125","","True"
"True","VSORRES","VSORRES","624adc00-adda-4f22-96fa-7d2f23f1fcd9","BiomedicalConceptProperty","BiomedicalConceptProperty_126","float","True"
"True","VSORRESU","VSORRESU","0fe8703a-7dbf-4a08-8a70-c2073f161d7a","BiomedicalConceptProperty","BiomedicalConceptProperty_127","","True"
"True","VSTESTCD","VSTESTCD","67fd6c37-4101-4f6d-8ba5-c0afa8eeb3e5","BiomedicalConceptProperty","BiomedicalConceptProperty_128","","True"
"True","VSORRES","VSORRES","9de46a3a-ae41-4ae5-a28a-f57fe3c7572f","BiomedicalConceptProperty","BiomedicalConceptProperty_129","float","True"
"True","VSORRESU","VSORRESU","4a18c99f-0447-4332-a16c-c103973d7a69","BiomedicalConceptProperty","BiomedicalConceptProperty_130","","True"
"True","LBTESTCD","LBTESTCD","58f28c43-ce1b-49c0-8f93-44a5963f040a","BiomedicalConceptProperty","BiomedicalConceptProperty_131","","True"
"True","LBORRES","LBORRES","35e7eece-f7c2-41f3-83ec-bac5445407c8","BiomedicalConceptProperty","BiomedicalConceptProperty_132","float","True"
